user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 725,Position_Y: 74,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 29.000000,type: SCENE_EVENT,Number scene: 0,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 29.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 30.000000,type: SCENE_EVENT,Number scene: 1,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 30.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 31.000000,type: SCENE_EVENT,Number scene: 0,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 31.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 31.000000,type: SCENE_EVENT,Number scene: 1,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 31.000000,type: SCENE_EVENT,Number scene: 2,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 32.000000,type: SCENE_EVENT,Number scene: 2,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 32.000000,type: SCENE_EVENT,Number scene: 3,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 33.000000,type: SCENE_EVENT,Number scene: 3,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 33.000000,type: SCENE_EVENT,Number scene: 4,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 34.000000,type: SCENE_EVENT,Number scene: 4,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 34.000000,type: SCENE_EVENT,Number scene: 5,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 40.000000,type: SCENE_EVENT,Number scene: 5,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 40.000000,type: SCENE_EVENT,Number scene: 6,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 41.000000,type: SCENE_EVENT,Number scene: 6,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 41.000000,type: SCENE_EVENT,Number scene: 7,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 45.000000,type: SCENE_EVENT,Number scene: 7,Action: EXIT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 45.000000,type: SESSION_END_EVENT
